,Endo_id,cell_id,cell_name,receptor_id,receptor
1566,ENH00505,ENC00326,cartilage,empty0,empty0
1567,ENH00506,ENC00102,pancreas,empty0,empty0
1568,ENH00506,ENC00164,retina,empty0,empty0
1569,ENH00506,ENC00020,brain,empty0,empty0
1570,ENH00506,ENC00048,heart,empty0,empty0
1571,ENH00506,ENC00171,muscle,empty0,empty0
1572,ENH00506,ENC00381,retinal_pigment_epithelium_RPE,empty0,empty0
1573,ENH00507,ENC00018,bone_marrow,empty0,empty0
1574,ENH00507,ENC00326,cartilage,empty0,empty0
1575,ENH00507,ENC00063,kidney,empty0,empty0
1576,ENH00507,ENC00093,osteoblast,empty0,empty0
1577,ENH00507,ENC00382,bone,empty0,empty0
1578,ENH00507,ENC00048,heart,empty0,empty0
1579,ENH00507,ENC00074,lung,empty0,empty0
1580,ENH00507,ENC00102,pancreas,empty0,empty0
1581,ENH00507,ENC00093,osteoblast,empty0,empty0
1582,ENH00507,ENC00325,osteocyte,empty0,empty0
1583,ENH00508,ENC00112,placenta,empty0,empty0
1584,ENH00508,ENC00265,Purkinje_cell,empty0,empty0
1585,ENH00508,ENC00093,osteoblast,empty0,empty0
1586,ENH00508,ENC00115,prostate,empty0,empty0
1587,ENH00508,ENC00050,hippocampus,empty0,empty0
1588,ENH00509,ENC00262,cerebellum,empty0,empty0
1589,ENH00510,ENC00020,brain,empty0,empty0
1590,ENH00510,ENC00074,lung,empty0,empty0
1591,ENH00510,ENC00263,aorta,empty0,empty0
1592,ENH00510,ENC00140,testis,empty0,empty0
1593,ENH00511,ENC00250,chondrocyte,empty0,empty0
1594,ENH00511,ENC00284,astrocyte,empty0,empty0
1595,ENH00511,ENC00020,brain,empty0,empty0
1596,ENH00511,ENC00283,fibroblast,empty0,empty0
1597,ENH00511,ENC00360,neuron,empty0,empty0
1598,ENH00511,ENC00184,colon,empty0,empty0
1599,ENH00511,ENC00221,large_intestine,empty0,empty0
1600,ENH00511,ENC00097,ovary,empty0,empty0
1601,ENH00512,ENC00093,osteoblast,empty0,empty0
1602,ENH00512,ENC00250,chondrocyte,empty0,empty0
1603,ENH00512,ENC00097,ovary,empty0,empty0
1604,ENH00512,ENC00360,neuron,empty0,empty0
1605,ENH00514,ENC00048,heart,empty0,empty0
1606,ENH00514,ENC00122,skeleton_muscle,empty0,empty0
1607,ENH00514,ENC00102,pancreas,empty0,empty0
1608,ENH00518,ENC00020,brain,empty0,empty0
1609,ENH00518,ENC00250,chondrocyte,empty0,empty0
1610,ENH00518,ENC00074,lung,empty0,empty0
1611,ENH00518,ENC00250,chondrocyte,empty0,empty0
1612,ENH00519,ENC00063,kidney,empty0,empty0
1613,ENH00519,ENC00020,brain,empty0,empty0
1614,ENH00519,ENC00475,neuroretina,empty0,empty0
1615,ENH00520,ENC00419,Schwann_cell,empty0,empty0
1616,ENH00520,ENC00122,skeleton_muscle,empty0,empty0
1617,ENH00520,ENC00259,cardiac_myocyte,empty0,empty0
1618,ENH00520,ENC00425,glial_cell_of_peripheral_nervous_system,empty0,empty0
1619,ENH00520,ENC00088,nerve,empty0,empty0
1620,ENH00520,ENC00112,placenta,empty0,empty0
1621,ENH00520,ENC00020,brain,empty0,empty0
