,Endo_id,Transported hormone,Target receptor
359,ENT00482,ENH00586,ENR01053
360,ENT00483,ENH00586,ENR00753
361,ENT00484,ENH00588,ENR01051
362,ENT00485,ENH00588,ENR01052
363,ENT00486,ENH00589,ENR01051
364,ENT00487,ENH00590,ENR01051
365,ENT00488,ENH00590,ENR01052
366,ENT00489,ENH00589,ENR01052
367,ENT00490,ENH00586,ENR01051
368,ENT00491,ENH00536,ENR01031
369,ENT00492,ENH00536,ENR00519
370,ENT00493,ENH00530,ENR00712
371,ENT00494,ENH00539,ENR00824
372,ENT00495,ENH00164,ENR00824
373,ENT00496,ENH00539,ENR00766
374,ENT00497,ENH00540,ENR00767
375,ENT00498,ENH00539,ENR00767
376,ENT00499,ENH00591,ENR01054
377,ENT00500,ENH00592,ENR01055
378,ENT00501,ENH00595,ENR01056
379,ENT00502,ENH00594,ENR01056
380,ENT00503,ENH00596,ENR01056
381,ENT00504,ENH00597,ENR01056
382,ENT00505,ENH00598,ENR01056
383,ENT00506,ENH00594,ENR01057
384,ENT00507,ENH00595,ENR01057
385,ENT00508,ENH00600,ENR01058
386,ENT00510,ENH00599,ENR01058
387,ENT00511,ENH00599,ENR01059
388,ENT00512,ENH00601,ENR01058
389,ENT00513,ENH00600,ENR01059
390,ENT00514,ENH00601,ENR01059
391,ENT00515,ENH00602,ENR01058
392,ENT00516,ENH00602,ENR01059
393,ENT00517,ENH00474,ENR01060
394,ENT00518,ENH00516,ENR00668
395,ENT00520,ENH00257,ENR00853
396,ENT00522,ENH00258,ENR00853
397,ENT00523,ENH00258,ENR00852
398,ENT00524,ENH00231,ENR00669
399,ENT00525,ENH00231,ENR00668
400,ENT00526,ENH00514,ENR00670
401,ENT00527,ENH00514,ENR00669
402,ENT00528,ENH00231,ENR01061
403,ENT00529,ENH00514,ENR01061
404,ENT00530,ENH00272,ENR01061
405,ENT00531,ENH00612,ENR01062
406,ENT00532,ENH00613,ENR01063
407,ENT00533,ENH00614,ENR01063
408,ENT00534,ENH00615,ENR01063
409,ENT00535,ENH00616,ENR01063
410,ENT00536,ENH00150,ENR01064
411,ENT00537,ENH00440,ENR00786
412,ENT00538,ENH00440,ENR00785
413,ENT00539,ENH00619,ENR00786
414,ENT00540,ENH00054,ENR00736
415,ENT00541,ENH00621,ENR00736
416,ENT00542,ENH00623,ENR00736
417,ENT00543,ENH00625,ENR01065
418,ENT00544,ENH00625,ENR01066
419,ENT00545,ENH00054,ENR00734
420,ENT00546,ENH00621,ENR00734
421,ENT00547,ENH00623,ENR00734
422,ENT00548,ENH00626,ENR00957
423,ENT00549,ENH00125,ENR00741
424,ENT00550,ENH00182,ENR00741
425,ENT00553,ENH00197,ENR01067
426,ENT00554,ENH00198,ENR00965
427,ENT00555,ENH00198,ENR01067
428,ENT00556,ENH00199,ENR01067
429,ENT00557,ENH00245,ENR01069
430,ENT00558,ENH00646,ENR00821
431,ENT00559,ENH00604,ENR00820
432,ENT00560,ENH00647,ENR01072
433,ENT00561,ENH00648,ENR01072
434,ENT00562,ENH00337,ENR01073
435,ENT00563,ENH00649,ENR00775
436,ENT00564,ENH00348,ENR00837
437,ENT00565,ENH00349,ENR00837
