,Endo_id,name,cytomer,sec_hormones,receptors,large_struct,substruct
410,ENC00078,mast cell,cy0011312,"['ENH00165', 'ENH00252', 'ENH00253', 'ENH00256', 'ENH00219', 'ENH00257', 'ENH00326', 'ENH00266', 'ENH00650', 'ENH00762', 'ENH00586', 'ENH00231', 'ENH01131']","['ENR00805', 'ENR00806', 'ENR00998', 'ENR00838', 'ENR01070', 'ENR01112', 'ENR01113', 'ENR01111', 'ENR01114', 'ENR00941', 'ENR01237', 'ENR00755', 'ENR00759']","['ENC00447', 'ENC00234', 'ENC00020', 'ENC00579', 'ENC00306', 'ENC00022', 'ENC00218', 'ENC00053', 'ENC00322', 'ENC00326', 'ENC00130', 'ENC00245', 'ENC00097', 'ENC00074', 'ENC00221', 'ENC00171', 'ENC00125', 'ENC00246', 'ENC00055', 'ENC00207', 'ENC00578', 'ENC00132', 'ENC00379', 'ENC00127', 'ENC00040', 'ENC00323', 'ENC00041', 'ENC00140', 'ENC00027', 'ENC00122', 'ENC00302', 'ENC00601', 'ENC00365', 'ENC00312', 'ENC00115', 'ENC00414', 'ENC00315', 'ENC00076']",[]
411,ENC00083,mucosa of small intestine,cy0000837,['ENH00939'],[],"['ENC00601', 'ENC00365']","['ENC00152', 'ENC00288', 'ENC00450', 'ENC00420', 'ENC00216', 'ENC00294']"
412,ENC00104,parafollicular cell,cy0044766,"['ENH00103', 'ENH00617']",[],['ENC00145'],[]
413,ENC00110,pineal cell,cy0045857,['ENH00039'],['ENR00805'],[],[]
414,ENC00114,neurohypophysis,cy0000467,['ENH00119'],[],"['ENC00020', 'ENC00053', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
415,ENC00117,pyloric part of stomach,cy0000791,['ENH00939'],[],"['ENC00132', 'ENC00601', 'ENC00365']","['ENC00152', 'ENC00597', 'ENC00465', 'ENC00276', 'ENC00493', 'ENC00469', 'ENC00201', 'ENC00473', 'ENC00216', 'ENC00283']"
416,ENC00119,Sertoli cell,cy0044762,"['ENH00120', 'ENH00374', 'ENH00529', 'ENH00074']","['ENR00788', 'ENR00905', 'ENR00263']","['ENC00601', 'ENC00579', 'ENC00140']",[]
417,ENC00129,spermatocyte,cy0011366,"['ENH00157', 'ENH01094']",[],"['ENC00601', 'ENC00579', 'ENC00140']",[]
418,ENC00150,vascularendothelial cell,cy0052346,"['ENH00276', 'ENH00287', 'ENH00324', 'ENH00453', 'ENH00073', 'ENH00928', 'ENH00938', 'ENH00934', 'ENH00977', 'ENH00978']","['ENR00667', 'ENR00905', 'ENR01205', 'ENR01041', 'ENR01038', 'ENR00669', 'ENR01061', 'ENR01069', 'ENR01195', 'ENR01193', 'ENR01265', 'ENR00756', 'ENR00758', 'ENR00755', 'ENR00757', 'ENR00796', 'ENR00118', 'ENR00644']",[],[]
419,ENC00162,cerebrospinal fluid,cy0018777,"['ENH00122', 'ENH00355', 'ENH00356', 'ENH00475', 'ENH00068']",[],[],"['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
420,ENC00166,corpus luteum,cy0020813,"['ENH00049', 'ENH00097', 'ENH00098']","['ENR00085', 'ENR00263', 'ENR00905', 'ENR00808']","['ENC00601', 'ENC00579', 'ENC00097']",[]
421,ENC00170,chromaffin cell,cy0044716,"['ENH00022', 'ENH00921', 'ENH00043', 'ENH00226', 'ENH00118']","['ENR00741', 'ENR00742', 'ENR00747']",[],[]
422,ENC00192,ovarian follicle cell,cy0011386,"['ENH00120', 'ENH00073', 'ENH00696']",[],"['ENC00601', 'ENC00579', 'ENC00043', 'ENC00097']",[]
423,ENC00193,S cell,cy0045848,['ENH00163'],[],"['ENC00132', 'ENC00601', 'ENC00365']",[]
424,ENC00194,APUD amine precursor uptake and decarboxylation cell,cy0011207,"['ENH00063', 'ENH01121']",[],"['ENC00601', 'ENC00127', 'ENC00365', 'ENC00255']",[]
425,ENC00196,APUD-cell,cy0011224,['ENH00161'],[],"['ENC00601', 'ENC00127', 'ENC00365', 'ENC00255']",[]
426,ENC00200,enterochromaffin like cell,cy0052341,"['ENH00768', 'ENH00219', 'ENH00922', 'ENH00939']","['ENR00727', 'ENR00781', 'ENR01188']",[],[]
427,ENC00215,cell of apocrine sweat gland,cy0011173,[],"['ENR00663', 'ENR00905']","['ENC00125', 'ENC00435', 'ENC00055']",[]
428,ENC00222,keratinocyte,cy0045842,"['ENH00203', 'ENH00347', 'ENH00212', 'ENH00058', 'ENH00222', 'ENH00329', 'ENH00712', 'ENH00331', 'ENH00273', 'ENH00384', 'ENH00459', 'ENH00469', 'ENH00869', 'ENH00576', 'ENH00661', 'ENH00664', 'ENH00669', 'ENH00709', 'ENH00727', 'ENH00741', 'ENH00900', 'ENH00067', 'ENH00073', 'ENH00939', 'ENH01085']","['ENR00760', 'ENR01017', 'ENR01022', 'ENR01030', 'ENR01168', 'ENR01149', 'ENR00598', 'ENR01188', 'ENR00621', 'ENR01190', 'ENR01191', 'ENR01238', 'ENR00755', 'ENR00757', 'ENR00759', 'ENR01319', 'ENR01320', 'ENR01325', 'ENR00664']",[],[]
