,Endo_id,receptor,cell,phenotype,activity
678,ENQ00720,ENR00694,ENC00212,ENP00710,normal receptor activity
679,ENQ00721,ENR00906,ENC00212,ENP00710,normal receptor activity
680,ENQ00722,ENR00764,ENC00212,ENP00710,normal receptor activity
681,ENQ00723,ENR00704,ENC00213,ENP00711,normal receptor activity
682,ENQ00724,ENR00905,ENC00213,ENP00711,normal receptor activity
683,ENQ00725,ENR00085,ENC00076,ENP00712,normal receptor activity
684,ENQ00726,ENR00663,ENC00143,ENP00020,normal receptor activity
685,ENQ00727,ENR00663,ENC00044,ENP00020,normal receptor activity
686,ENQ00728,ENR00704,ENC00096,ENP00713,normal receptor activity
687,ENQ00729,ENR00663,ENC00214,ENP00714,normal receptor activity
688,ENQ00730,ENR00704,ENC00214,ENP00714,normal receptor activity
689,ENQ00731,ENR00905,ENC00214,ENP00714,normal receptor activity
690,ENQ00732,ENR00704,ENC00214,ENP00686,normal receptor activity
691,ENQ00733,ENR00905,ENC00214,ENP00686,normal receptor activity
692,ENQ00734,ENR00663,ENC00214,ENP00686,normal receptor activity
693,ENQ00735,ENR00704,ENC00096,ENP00687,normal receptor activity
694,ENQ00736,ENR00704,ENC00214,ENP00687,normal receptor activity
695,ENQ00737,ENR00905,ENC00214,ENP00687,normal receptor activity
696,ENQ00738,ENR00704,ENC00216,ENP00300,normal receptor activity
697,ENQ00739,ENR00905,ENC00074,ENP00312,normal receptor activity
698,ENQ00740,ENR00905,ENC00150,ENP00312,normal receptor activity
699,ENQ00741,ENR00704,ENC00213,ENP00318,normal receptor activity
700,ENQ00742,ENR00905,ENC00213,ENP00318,normal receptor activity
701,ENQ00743,ENR00704,ENC00211,ENP00239,normal receptor activity
702,ENQ00744,ENR00905,ENC00211,ENP00239,normal receptor activity
703,ENQ00745,ENR00663,ENC00210,ENP00189,normal receptor activity
704,ENQ00746,ENR00663,ENC00210,ENP00057,less than normal receptor activity
705,ENQ00747,ENR00663,ENC00210,ENP00715,more than normal receptor activity
706,ENQ00748,ENR00663,ENC00211,ENP00716,normal receptor activity
707,ENQ00749,ENR00663,ENC00213,ENP00717,normal receptor activity
708,ENQ00750,ENR00663,ENC00213,ENP00718,more than normal receptor activity
709,ENQ00751,ENR00663,ENC00143,ENP00719,more than normal receptor activity
710,ENQ00752,ENR00704,ENC00210,ENP00189,normal receptor activity
711,ENQ00753,ENR00905,ENC00210,ENP00189,normal receptor activity
712,ENQ00754,ENR00704,ENC00115,ENP00720,unknown receptor activity
713,ENQ00755,ENR00905,ENC00115,ENP00720,unknown receptor activity
714,ENQ00756,ENR00905,ENC00067,ENP00087,normal receptor activity
715,ENQ00757,ENR00704,ENC00067,ENP00087,normal receptor activity
716,ENQ00758,ENR00905,ENC00119,ENP00721,normal receptor activity
717,ENQ00759,ENR00905,ENC00423,ENP00300,normal receptor activity
718,ENQ00760,ENR00704,ENC00050,ENP00722,normal receptor activity
719,ENQ00761,ENR00704,ENC00074,ENP00723,normal receptor activity
720,ENQ00762,ENR00704,ENC00063,ENP00724,no receptor activity
721,ENQ00763,ENR00704,ENC00044,ENP00020,normal receptor activity
722,ENQ00764,ENR00905,ENC00044,ENP00020,normal receptor activity
723,ENQ00765,ENR00704,ENC00076,ENP00031,normal receptor activity
724,ENQ00766,ENR00905,ENC00076,ENP00031,normal receptor activity
725,ENQ00767,ENR00704,ENC00009,ENP00725,normal receptor activity
726,ENQ00768,ENR00905,ENC00325,ENP00575,normal receptor activity
727,ENQ00769,ENR00704,ENC00093,ENP00095,normal receptor activity
728,ENQ00770,ENR00905,ENC00128,ENP00726,normal receptor activity
729,ENQ00771,ENR00905,ENC00166,ENP00012,normal receptor activity
730,ENQ00772,ENR00905,ENC00096,ENP00713,normal receptor activity
731,ENQ00773,ENR00934,ENC00250,ENP00727,normal receptor activity
732,ENQ00774,ENR00756,ENC00022,ENP00444,more than normal receptor activity
733,ENQ00775,ENR01320,ENC00263,ENP00312,normal receptor activity
734,ENQ00776,ENR00757,ENC00152,ENP00300,normal receptor activity
735,ENQ00777,ENR00755,ENC00152,ENP00300,normal receptor activity
736,ENQ00778,ENR00757,ENC00074,ENP00361,normal receptor activity
737,ENQ00779,ENR00759,ENC00144,ENP00240,normal receptor activity
738,ENQ00780,ENR00755,ENC00290,ENP00240,normal receptor activity
739,ENQ00781,ENR00759,ENC00290,ENP00240,normal receptor activity
740,ENQ00782,ENR01319,ENC00290,ENP00240,normal receptor activity
741,ENQ00783,ENR01265,ENC00228,ENP00242,normal receptor activity
742,ENQ00784,ENR00755,ENC00228,ENP00242,normal receptor activity
743,ENQ00785,ENR01319,ENC00228,ENP00242,normal receptor activity
744,ENQ00786,ENR01320,ENC00228,ENP00242,normal receptor activity
745,ENQ00787,ENR00759,ENC00360,ENP00339,normal receptor activity
746,ENQ00788,ENR00759,ENC00020,ENP00340,normal receptor activity
747,ENQ00789,ENR01320,ENC00472,ENP00303,normal receptor activity
748,ENQ00790,ENR00759,ENC00152,ENP00037,normal receptor activity
749,ENQ00791,ENR00755,ENC00020,ENP00512,normal receptor activity
750,ENQ00792,ENR00759,ENC00048,ENP00558,normal receptor activity
751,ENQ00793,ENR00757,ENC00140,ENP00677,normal receptor activity
752,ENQ00794,ENR00755,ENC00578,ENP00099,normal receptor activity
753,ENQ00795,ENR00757,ENC00578,ENP00099,normal receptor activity
754,ENQ00796,ENR01334,ENC00009,ENP00394,unknown receptor activity
755,ENQ00797,ENR00574,ENC00596,ENP00186,no receptor activity
756,ENQ00798,ENR00574,ENC00002,ENP00186,no receptor activity
757,ENQ00799,ENR00574,ENC00053,ENP00186,no receptor activity
758,ENQ00800,ENR00993,ENC00191,ENP00060,unknown receptor activity
759,ENQ00801,ENR00936,ENC00361,ENP00729,no receptor activity
760,ENQ00802,ENR00936,ENC00053,ENP00729,no receptor activity
761,ENQ00803,ENR00936,ENC00189,ENP00729,unknown receptor activity
762,ENQ00804,ENR00979,ENC00005,ENP00136,more than normal receptor activity
763,ENQ00805,ENR00762,ENC00025,ENP00136,less than normal receptor activity
764,ENQ00806,ENR00763,ENC00025,ENP00136,less than normal receptor activity
765,ENQ00807,ENR00894,ENC00318,ENP00730,normal receptor activity
766,ENQ00808,ENR00667,ENC00360,ENP00106,normal receptor activity
767,ENQ00809,ENR00667,ENC00150,ENP00013,normal receptor activity
768,ENQ00810,ENR01334,ENC00579,ENP00087,normal receptor activity
769,ENQ00811,ENR00595,ENC00018,ENP00731,normal receptor activity
770,ENQ00812,ENR00776,ENC00074,ENP00733,unknown receptor activity
771,ENQ00813,ENR00776,ENC00414,ENP00734,unknown receptor activity
772,ENQ00814,ENR00079,ENC00177,ENP00493,less than normal receptor activity
773,ENQ00815,ENR00061,ENC00217,ENP00735,unknown receptor activity
774,ENQ00816,ENR00746,ENC00076,ENP00736,more than normal receptor activity
775,ENQ00817,ENR00746,ENC00144,ENP00737,unknown receptor activity
776,ENQ00818,ENR00979,ENC00112,ENP00738,unknown receptor activity
777,ENQ00819,ENR01194,ENC00276,ENP00739,unknown receptor activity
778,ENQ00820,ENR01194,ENC00276,ENP00318,unknown receptor activity
779,ENQ00821,ENR01237,ENC00312,ENP00740,unknown receptor activity
780,ENQ00822,ENR00058,ENC00216,ENP00742,normal receptor activity
781,ENQ00823,ENR00058,ENC00250,ENP00276,unknown receptor activity
782,ENQ00824,ENR00651,ENC00233,ENP00743,unknown receptor activity
783,ENQ00825,ENR00047,ENC00216,ENP00744,unknown receptor activity
784,ENQ00826,ENR00103,ENC00020,ENP00745,unknown receptor activity
785,ENQ00827,ENR00602,ENC00020,ENP00746,unknown receptor activity
786,ENQ00828,ENR00228,ENC00048,ENP00747,unknown receptor activity
787,ENQ00829,ENR00228,ENC00063,ENP00748,unknown receptor activity
788,ENQ00831,ENR00228,ENC00122,ENP00750,unknown receptor activity
789,ENQ00832,ENR00535,ENC00074,ENP00751,unknown receptor activity
790,ENQ00833,ENR00582,ENC00096,ENP00752,unknown receptor activity
791,ENQ00834,ENR00005,ENC00048,ENP00753,unknown receptor activity
792,ENQ00835,ENR00579,ENC00361,ENP00754,unknown receptor activity
793,ENQ00836,ENR00579,ENC00580,ENP00755,unknown receptor activity
794,ENQ00837,ENR00263,ENC00062,ENP00210,normal receptor activity
795,ENQ00838,ENR00430,ENC00262,ENP00756,unknown receptor activity
796,ENQ00839,ENR01337,ENC00601,ENP00757,unknown receptor activity
797,ENQ00840,ENR01339,ENC00174,ENP00758,unknown receptor activity
798,ENQ00841,ENR01339,ENC00360,ENP00759,unknown receptor activity
799,ENQ00842,ENR01090,ENC00228,ENP00242,unknown receptor activity
800,ENQ00843,ENR01090,ENC00216,ENP00760,unknown receptor activity
801,ENQ00844,ENR01090,ENC00600,ENP00084,unknown receptor activity
802,ENQ00845,ENR01055,ENC00413,ENP00761,unknown receptor activity
803,ENQ00846,ENR01055,ENC00182,ENP00762,unknown receptor activity
804,ENQ00847,ENR00690,ENC00228,ENP00242,unknown receptor activity
805,ENQ00849,ENR00690,ENC00217,ENP00735,unknown receptor activity
806,ENQ00850,ENR00931,ENC00247,ENP00113,unknown receptor activity
807,ENQ00851,ENR00841,ENC00247,ENP00113,unknown receptor activity
808,ENQ00852,ENR00690,ENC00233,ENP00763,unknown receptor activity
809,ENQ00853,ENR00690,ENC00294,ENP00763,unknown receptor activity
